Arizona,7.8,4.2,6.1,3.9,0.023,0.022,0.37,2,3
Atlanta,6.7,3.8,6.7,4.0,0.027,0.024,0.47,3,4
Baltimore,6.1,3.9,6.4,4.0,0.031,0.012,0.55,4,5
Buffalo,6.6,4.8,6.4,4.4,0.019,0.028,0.61,5,6
Carolina,6.7,4.3,5.4,3.9,0.020,0.011,0.42,6,7
Chicago,6.6,4.0,6.6,4.5,0.023,0.020,0.45,7,8
Cincinnati,7.3,3.9,5.8,4.3,0.018,0.017,0.45,8,9
Cleveland,5.7,4.0,7.4,4.5,0.020,0.027,0.53,9,10
Dallas,6.2,4.6,6.8,4.2,0.042,0.019,0.45,10,11
Denver,6.2,4.2,5.1,3.3,0.038,0.015,0.51,12,11
Detroit,6.2,3.8,6.6,4.2,0.022,0.017,0.46,12,13
Green Bay,5.7,4.2,6.1,4.5,0.014,0.023,0.44,13,14
Houston,5.9,3.7,5.6,4.1,0.019,0.020,0.43,14,15
Indianapolis,5.6,3.6,6.6,4.3,0.031,0.018,0.44,15,16
Jacksonville,6.2,4.2,6.7,3.7,0.030,0.025,0.42,16,17
Kansas City,6.3,4.7,5.7,4.1,0.015,0.016,0.44,17,18
Miami,6.0,4.3,7.0,4.0,0.020,0.024,0.53,18,19
Minnesota,5.9,4.7,6.2,4.3,0.020,0.022,0.40,19,20
New England,6.9,3.7,6.0,4.0,0.011,0.013,0.41,20,21
New Orleans,7.1,3.8,7.9,4.9,0.018,0.016,0.53,21,22
NY Giants,6.7,4.0,7.2,4.4,0.022,0.022,0.37,22,23
NY Jets,6.5,4.2,5.9,3.6,0.026,0.016,0.38,23,24
Oakland,6.1,3.9,6.1,4.1,0.023,0.027,0.53,25,26
Philadelphia,6.2,3.9,6.4,4.5,0.029,0.023,0.36,26,27
Pittsburgh,7.4,4.4,6.5,3.8,0.036,0.016,0.42,27,28
San Diego,6.5,3.5,7.0,4.8,0.019,0.018,0.46,28,29
San Fransisco,5.7,4.0,7.2,4.0,0.023,0.022,0.40,29,30
Seattle,7.1,4.5,5.8,3.6,0.016,0.016,0.51,30,31
St. Louis,5.7,4.6,6.4,4.0,0.023,0.024,0.53,31,32
Tampa Bay,6.9,4.8,6.6,3.4,0.028,0.026,0.58,32,1
Tennessee,5.8,4.0,6.8,3.9,0.031,0.026,0.39,1,2
Washington,7.0,3.7,6.8,4.8,0.020,0.026,0.41,2,3
Average,6.41,4.1,6.41,4.1,0.024,0.0203,0.458,1,1
